 Address,地址,
 Amount,数额,
 Is Child Table,是否为子表,
 Name,名称,
 Rate,单价,
 Summary,概要,
"""Customer Provided Item"" cannot be Purchase Item also","""Customer Provided Item（客户提供的物品）"" 也不可被采购",
"""Customer Provided Item"" cannot have Valuation Rate","""Customer Provided Item（客户提供的物品）"" 不允许拥有 Valuation Rate（估值比率）",
"""Is Fixed Asset"" cannot be unchecked, as Asset record exists against the item",“是固定的資產”不能選中，作為資產記錄存在對項目,
"""SN-01::10"" for ""SN-01"" to ""SN-10""",SN-01::10 代表 SN-01 到 SN-10,
# In Stock,# 库存数量,
# Req'd Items,# 所需物料,
%  Delivered,％交付,
% Amount Billed,（％）金額已開立帳單,
% Billed,％已開立帳單,
% Complete Method,完成百分比法,
% Completed,％已完成,
% Finished Item Quantity,% 成品数量,
% Installed,％已安裝,
% Occupied,% 已使用,
% Of Grand Total,占总数的百分比,
% Ordered,% 已訂購,
% Picked,% 已拣货,
% Process Loss,% 工艺损耗,
% Progress,％進展,
% Received,％ 已收,
% Returned,% 已退货,
% of materials billed against this Sales Order,針對這張銷售訂單的已開立帳單的百分比(%),
% of materials delivered against this Sales Order,針對這張銷售訂單的已交貨物料的百分比(%),
'Account' in the Accounting section of Customer {0},客户 {0} 的会计部分中的“账目”,
'Allow Multiple Sales Orders Against a Customer's Purchase Order',“允许针对指定客户的采购订单创建多个销售订单”,
'Based On' and 'Group By' can not be same,“根據”和“分組依據”不能相同,
'Days Since Last Order' must be greater than or equal to zero,“自從最後訂購日”必須大於或等於零,
'Default {0} Account' in Company {1},公司 {1} 的“默认 {0} 账目”,
'Entries' cannot be empty,“分錄”不能是空的,
'From Date' is required,“起始日期”是必需的,
'From Date' must be after 'To Date',“起始日期”必須經過'終止日期',
'Has Serial No' can not be 'Yes' for non-stock item,非庫存項目不能有序號,
"'Inspection Required before Delivery' has disabled for the item {0}, no need to create the QI",物料{0}已禁用'发货前需质检'，无需创建质量检验单,
"'Inspection Required before Purchase' has disabled for the item {0}, no need to create the QI",物料{0}已禁用'采购前需质检'，无需创建质量检验单,
'Opening',“開放”,
'To Date' is required,“至日期”是必需填寫的,
'To Package No.' cannot be less than 'From Package No.',“结束包装编号”不能小于“起始包装编号”,
'Update Stock' can not be checked because items are not delivered via {0},不能勾選`更新庫存'，因為項目未交付{0},
'Update Stock' cannot be checked for fixed asset sale,"""更新庫存"" 無法檢查固定資產銷售",
'{0}' account is already used by {1}. Use another account.,科目'{0}'已被{1}使用，请选择其他科目,
'{0}' should be in company currency {1}.,'{0}'必须使用公司货币{1},
(A) Qty After Transaction,(A) 交易后数量,
(B) Expected Qty After Transaction,(B) 预期交易后数量,
(C) Total Qty in Queue,(C) 队列中的总数量,
(C) Total qty in queue,(C) 队列中的总数量,
(D) Balance Stock Value,(D) 结存库存价值,
(E) Balance Stock Value in Queue,(E) 队列结存价值,
(F) Change in Stock Value,(F) 库存价值变动,
(Forecast),（预测）,
(G) Sum of Change in Stock Value,(G) 库存价值变动总和,
(H) Change in Stock Value (FIFO Queue),(H) 库存价值变动（先进先出队列）,
(H) Valuation Rate,(H) 计价率,
(Hour Rate / 60) * Actual Operation Time,（工時率/ 60）*實際操作時間,
(I) Valuation Rate,(I) 计价率,
(J) Valuation Rate as per FIFO,(J) 按先进先出法计价率,
(K) Valuation = Value (D) ÷ Qty (A),(K) 计价=价值(D) ÷ 数量(A),
(including),（包括）,
* Will be calculated in the transaction.,*將被計算在該交易。,
0-30 Days,0-30 天,
1 Loyalty Points = How much base currency?,1忠誠度積分=多少基礎貨幣？,
1 hr,1小时,
2 Yearly,每年2次,
3 Yearly,3年周期,
30 mins,30分钟,
30-60 Days,30-60 天,
6 hrs,6小时,
60-90 Days,60-90 天,
90 Above,90 以上,
<b>From Time</b> cannot be later than <b>To Time</b> for {0},{0}的<b>起始时间</b>不能晚于<b>起始时间</b>,
