 Is Child Table,Är Undertabell,
%  Delivered,% Levereras,
% Amount Billed,% Belopp fakturerat,
% Billed,% Fakturerad,
% Complete Method,% Komplett metod,
% Completed,% Slutfört,
% Installed,% Installerad,
% Ordered,% Beställt,
% Picked,% Plockad,
% Process Loss,% Process Förlust,
% Progress,% Framgång,
% Received,% Emot,
% Returned,% Retur,
% of materials billed against this Sales Order,% Av material faktureras mot denna kundorder,
% of materials delivered against this Sales Order,% Av material som levereras mot denna kundorder,
(Hour Rate / 60) * Actual Operation Time,(Timkostnad/60) * Faktisk produktionstid,
(including),(inklusive),
* Will be calculated in the transaction.,* Kommer att beräknas i transaktionen.,
1 Loyalty Points = How much base currency?,1 Lojalitetspoäng = Hur mycket basvaluta?,
1 hr,1 timme,
2 Yearly,2 årligen,
3 Yearly,Var Tredje År,
30 mins,30 minuter,
6 hrs,6 timmar,
