 Is Child Table,是否为子表,
%  Delivered,％已交付,
% Amount Billed,（％）金额帐单,
% Billed,% 已记账,
% Complete Method,完成百分比法,
% Completed,% 已完成,
% Installed,％已安装,
% Ordered,%  已排序,
% Picked,% 已拣货,
% Process Loss,% 工艺损耗,
% Progress,％进展,
% Received,％已收货,
% Returned,% 已退货,
% of materials billed against this Sales Order,此销售订单%的物料已开票。,
% of materials delivered against this Sales Order,此销售订单% 的物料已交货。,
(Hour Rate / 60) * Actual Operation Time,（小时率/ 60）*实际操作时间,
(including),（包含）,
* Will be calculated in the transaction.,*将被计算在该交易内。,
1 Loyalty Points = How much base currency?,1忠诚度积分=多少基本币？,
1 hr,1小时,
2 Yearly,每年2次,
3 Yearly,3年周期,
30 mins,30分钟,
6 hrs,6小时,
"<br>
<h4>Note</h4>
<ul>
<li>
You can use <a href=""https://jinja.palletsprojects.com/en/2.11.x/"" target=""_blank"">Jinja tags</a> in <b>Subject</b> and <b>Body</b> fields for dynamic values.
</li><li>
    All fields in this doctype are available under the <b>doc</b> object and all fields for the customer to whom the mail will go to is available under the  <b>customer</b> object.
</li></ul>
<h4> Examples</h4>
<!-- {% raw %} -->
<ul>
    <li><b>Subject</b>:<br><br><pre><code>Statement Of Accounts for {{ customer.customer_name }}</code></pre><br></li>
    <li><b>Body</b>: <br><br>
<pre><code>Hello {{ customer.customer_name }},<br>PFA your Statement Of Accounts from {{ doc.from_date }} to {{ doc.to_date }}.</code> </pre></li>
</ul>
<!-- {% endraw %} -->","<br>
<h4>注意事项</h4>
<ul>
<li>
您可以在 ""<b>主题 ""</b>和<b>""正文</b>""字段中使用 ""<a href=""https://jinja.palletsprojects.com/en/2.11.x/"" target=""_blank"">Jinja ""标记</a>来获取动态值。
</li><li>
    该类型中的所有字段均可在<b>doc</b>对象下使用，而邮件将发送给的客户的所有字段均可在<b>客户</b>对象下使用。
</li></ul>
<h4>示例</h4>
<!-- {% raw %} -->
<ul>
    <li><b>主题</b>：<br><br><pre><code> {{ customer.customer_name }}的账目报表 </code></pre><br></li>
    <li><b>正文</b>：<br><br>
<pre><code>您好 {{ customer.customer_name }},<br>PFA 您的会计报表从 {{ doc.from_date }} 转到 {{ doc.to_date }}。</code> </pre></li>
</ul>
<!-- {% endraw %} -->",
"<div class=""columnHeading"">Other Details</div>","<div class=""columnHeading"">其他详细信息</div>",
"<div class=""text-muted text-center"">No Matching Bank Transactions Found</div>","<div class=""text-muted text-center"">未找到匹配的银行交易</div>",
"<div>
<h3> All dimensions in centimeter only </h3>
</div>","<div>
<h3>所有尺寸均以厘米为单位 </h3>
</div>",
"<h3>About Product Bundle</h3>

<p>Aggregate group of <b>Items</b> into another <b>Item</b>. This is useful if you are bundling a certain <b>Items</b> into a package and you maintain stock of the packed <b>Items</b> and not the aggregate <b>Item</b>.</p>
<p>The package <b>Item</b> will have <code>Is Stock Item</code> as <b>No</b> and <code>Is Sales Item</code> as <b>Yes</b>.</p>
<h4>Example:</h4>
<p>If you are selling Laptops and Backpacks separately and have a special price if the customer buys both, then the Laptop + Backpack will be a new Product Bundle Item.</p>","<h3>关于产品捆绑包</h3>

<p>将一组<b>货品</b>汇总到另一个<b>货品</b>中。如果您要将某个<b>项目</b>捆绑到一个包中，而您只保留打包<b>项目</b>的库存，而不保留汇总<b>项目</b>的库存，这将非常有用。</p>
<p>打包<b>项目</b>的<code>Is Stock</code> <b>Item</b> <code>（库存项目）</code>为<b>No</b>，<code>Is Sales Item</code> <code>（销售项目</code>）为<b>Yes</b>。</p>
<h4>举例说明：</h4>
<p>如果您分别销售笔记本电脑和背包，并且如果客户同时购买这两件商品，您可以享受优惠价格，那么笔记本电脑+背包将成为一个新的产品组合项目。</p>",
"<h3>Currency Exchange Settings Help</h3>
<p>There are 3 variables that could be used within the endpoint, result key and in values of the parameter.</p>
<p>Exchange rate between {from_currency} and {to_currency} on {transaction_date} is fetched by the API.</p>
<p>Example: If your endpoint is exchange.com/2021-08-01, then, you will have to input exchange.com/{transaction_date}</p>","<h3>货币兑换设置帮助</h3>
<p>在端点、结果键和参数值中可以使用 3 个变量。</p>
<p>API 将获取 {transaction_date} 上 {from_currency} 和 {to_currency} 之间的汇率。</p>
<p>举例说明：如果您的端点是 exchange.com/2021-08-01，则必须输入 exchange.com/{transaction_date}。 </p>",
