 Is Child Table,Ist Untertabelle,
%  Delivered,% Geliefert,
% Amount Billed,% des Betrages berechnet,
% Billed,% verrechnet,
% Complete Method,Fertigstellung bemessen nach,
% Completed,% abgeschlossen,
% Installed,% installiert,
% Ordered,% bestellt,
% Picked,% Kommissioniert,
% Process Loss,% Prozessverlust,
% Progress,% Fortschritt,
% Received,% erhalten,
% Returned,% Zurückgegeben,
% of materials billed against this Sales Order,% der Materialien welche zu diesem Auftrag gebucht wurden,
% of materials delivered against this Sales Order,% der für diesen Auftrag gelieferten Materialien,
(Hour Rate / 60) * Actual Operation Time,(Stundensatz / 60) * tatsächliche Betriebszeit,
(including),(einschliesslich),
* Will be calculated in the transaction.,* Wird in der Transaktion berechnet.,
1 Loyalty Points = How much base currency?,1 Treuepunkte = Wie viel Echtgeld?,
1 hr,1 Std,
2 Yearly,Alle 2 Jahre,
3 Yearly,Alle 3 Jahre,
30 mins,30 Minuten,
6 hrs,6 Std,
"<br>
<h4>Note</h4>
<ul>
<li>
You can use <a href=""https://jinja.palletsprojects.com/en/2.11.x/"" target=""_blank"">Jinja tags</a> in <b>Subject</b> and <b>Body</b> fields for dynamic values.
</li><li>
    All fields in this doctype are available under the <b>doc</b> object and all fields for the customer to whom the mail will go to is available under the  <b>customer</b> object.
</li></ul>
<h4> Examples</h4>
<!-- {% raw %} -->
<ul>
    <li><b>Subject</b>:<br><br><pre><code>Statement Of Accounts for {{ customer.customer_name }}</code></pre><br></li>
    <li><b>Body</b>: <br><br>
<pre><code>Hello {{ customer.customer_name }},<br>PFA your Statement Of Accounts from {{ doc.from_date }} to {{ doc.to_date }}.</code> </pre></li>
</ul>
<!-- {% endraw %} -->","<br>
<h4>Hinweis</h4>
<ul>
<li>
Sie können <a href=""https://jinja.palletsprojects.com/en/2.11.x/"" target=""_blank"">Jinja-Tags</a> in den Feldern <b>Betreff</b> und <b>Body</b> für dynamische Werte verwenden.
</li><li>
    Alle Felder in diesem DocType sind über das Objekt <b>doc</b> verfügbar und alle Felder für den Kunden, an den die Mail gehen soll, sind über das Objekt  <b>customer</b> verfügbar.
</li></ul>
<h4> Beispiele</h4>
<!-- {% raw %} -->
<ul>
    <li><b>Betreff</b>:<br><br><pre><code>Kontoauszug für {{ customer.customer_name }}</code></pre><br></li>
    <li><b>Body</b>: <br><br>
<pre><code>Hallo {{ customer.customer_name }},<br>Im Anhang finden Sie Ihren Kontoauszug von {{ doc.from_date }} bis {{ doc.to_date }}.</code> </pre></li>
</ul>
<!-- {% endraw %} -->",
"<div class=""columnHeading"">Other Details</div>","<div class=""columnHeading"">Weitere Details</div>",
"<div class=""text-muted text-center"">No Matching Bank Transactions Found</div>","<div class=""text-muted text-center"">Keine übereinstimmenden Banktransaktionen gefunden</div>",
"<div>
<h3> All dimensions in centimeter only </h3>
</div>","<div>
<h3> Alle Abmessungen nur in Zentimeter </h3>
</div>",
"<h3>About Product Bundle</h3>

<p>Aggregate group of <b>Items</b> into another <b>Item</b>. This is useful if you are bundling a certain <b>Items</b> into a package and you maintain stock of the packed <b>Items</b> and not the aggregate <b>Item</b>.</p>
<p>The package <b>Item</b> will have <code>Is Stock Item</code> as <b>No</b> and <code>Is Sales Item</code> as <b>Yes</b>.</p>
<h4>Example:</h4>
<p>If you are selling Laptops and Backpacks separately and have a special price if the customer buys both, then the Laptop + Backpack will be a new Product Bundle Item.</p>","<h3>Über Produktbündel</h3>

<p>Bündeln Sie eine Gruppe von <b>Artikeln</b> zu einem anderen <b>Artikel</b>. Dies ist nützlich, wenn Sie bestimmte <b>Artikel</b> zu einem Paket bündeln und Sie den Bestand der einzelnen <b>Artikel</b> und nicht den des Bündels führen.</p>
<p>Der Bündel-<b>Artikel</b> wird <code>Ist Lagerartikel</code> auf <b>Nein</b> und <code>Ist Verkaufsartikel</code> auf <b>Ja</b> gesetzt haben.</p>
<h4>Beispiel:</h4>
<p>Wenn Sie Laptops und Rucksäcke separat verkaufen und einen Sonderpreis anbieten, wenn der Kunde beides zusammen kauft, dann ist der Laptop + Rucksack ein Produktbündel.</p>",
"<h3>Currency Exchange Settings Help</h3>
<p>There are 3 variables that could be used within the endpoint, result key and in values of the parameter.</p>
<p>Exchange rate between {from_currency} and {to_currency} on {transaction_date} is fetched by the API.</p>
<p>Example: If your endpoint is exchange.com/2021-08-01, then, you will have to input exchange.com/{transaction_date}</p>","<h3>Wechselkurseinstellungen Hilfe</h3>
<p>Es gibt 3 Variablen, die innerhalb des Endpunkts, des Ergebnisschlüssels und in den Werten des Parameters verwendet werden können.</p>
<p>Der Wechselkurs zwischen {from_currency} und {to_currency} am {transaction_date} wird von der API abgefragt.</p>
<p>Beispiel: Wenn Ihr Endpunkt exchange.com/2021-08-01 lautet, dann müssen Sie exchange.com/{transaction_date} eingeben.</p>",
"<h4>Body Text and Closing Text Example</h4>

<div>We have noticed that you have not yet paid invoice {{sales_invoice}} for {{frappe.db.get_value(""Currency"", currency, ""symbol"")}} {{outstanding_amount}}. This is a friendly reminder that the invoice was due on {{due_date}}. Please pay the amount due immediately to avoid any further dunning cost.</div>

<h4>How to get fieldnames</h4>

<p>The fieldnames you can use in your template are the fields in the document. You can find out the fields of any documents via Setup &gt; Customize Form View and selecting the document type (e.g. Sales Invoice)</p>

<h4>Templating</h4>

<p>Templates are compiled using the Jinja Templating Language. To learn more about Jinja, <a class=""strong"" href=""http://jinja.pocoo.org/docs/dev/templates/"">read this documentation.</a></p>","<h4>Textkörper und Schlusstext Beispiel</h4>

<div>Wir haben festgestellt, dass Sie die Rechnung {{sales_invoice}} für {{frappe.db.get_value(""Currency"", currency, ""symbol"")}} {{outstanding_amount}} noch nicht bezahlt haben. Dies ist eine freundliche Erinnerung daran, dass die Rechnung am {{due_date}}fällig war. Bitte zahlen Sie den fälligen Betrag sofort, um weitere Mahngebühren zu vermeiden.</div>

<h4>Feldnamen herausfinden</h4>

<p>Die Feldnamen, die Sie in Ihrer Vorlage verwenden können, sind die Felder im Dokument. Sie können die Feldnamen aller Dokumente finden, indem Sie Setup &gt; Formular anpassen öffen und den DocTyp (z.B. Ausgangsrechnung) auswählen</p>

<h4>Vorlagen</h4>

<p>Vorlagen werden mithilfe von Jinja erstellt. Wenn Sie mehr über Jinja erfahren möchten, <a class=""strong"" href=""http://jinja.pocoo.org/docs/dev/templates/"">lesen Sie diese Dokumentation.</a></p>",
"<h4>Contract Template Example</h4>

<pre>Contract for Customer {{ party_name }}

-Valid From : {{ start_date }} 
-Valid To : {{ end_date }}
</pre>

<h4>How to get fieldnames</h4>

<p>The field names you can use in your Contract Template are the fields in the Contract for which you are creating the template. You can find out the fields of any documents via Setup &gt; Customize Form View and selecting the document type (e.g. Contract)</p>

<h4>Templating</h4>

<p>Templates are compiled using the Jinja Templating Language. To learn more about Jinja, <a class=""strong"" href=""http://jinja.pocoo.org/docs/dev/templates/"">read this documentation.</a></p>","<h4>Beispiel für eine Vertragsvorlage</h4>

<pre>Vertrag für einen Kunden {{ party_name }}

-Gültig von : {{ start_date }} 
-Gültig bis : {{ end_date }}
</pre>

<h4>So erhalten Sie Feldnamen</h4>

<p>Die Feldnamen, die Sie in Ihrer Vertragsvorlage verwenden können, sind die Felder des Vertrags, für den Sie die Vorlage erstellen. Sie können die Felder aller Dokumente über Setup &gt; Formularansicht anpassen und den Dokumententyp (z.B. Vertrag) auswählen</p>

<h4>Vorlagenerstellung</h4>

<p>Vorlagen werden mit der Jinja-Vorlagensprache erstellt. Wenn Sie mehr über Jinja erfahren möchten, <a class=""strong"" href=""http://jinja.pocoo.org/docs/dev/templates/"">lesen Sie diese Dokumentation.</a></p>",
"<h4>Standard Terms and Conditions Example</h4>

<pre>Delivery Terms for Order number {{ name }}

-Order Date : {{ transaction_date }} 
-Expected Delivery Date : {{ delivery_date }}
</pre>

<h4>How to get fieldnames</h4>

<p>The fieldnames you can use in your email template are the fields in the document from which you are sending the email. You can find out the fields of any documents via Setup &gt; Customize Form View and selecting the document type (e.g. Sales Invoice)</p>

<h4>Templating</h4>

<p>Templates are compiled using the Jinja Templating Language. To learn more about Jinja, <a class=""strong"" href=""http://jinja.pocoo.org/docs/dev/templates/"">read this documentation.</a></p>","<h4>Allgemeine Geschäftsbedingungen Beispiel</h4>

<pre>Lieferbedingungen für Bestellnummer {{ name }}

-Bestelldatum : {{ transaction_date }} 
-erwartetes Lieferdatum : {{ delivery_date }}
</pre>

<h4>So erhalten Sie Feldnamen</h4>

<p>Die Feldnamen, die Sie in Ihrer E-Mail-Vorlage verwenden können, sind die Felder in dem Dokument, aus dem Sie die E-Mail versenden. Sie können die Felder aller Dokumente über Setup &gt; Formularansicht anpassen und den Dokumententyp (z.B. Ausgangsrechnung) auswählen</p>

<h4>Vorlagen</h4>

<p>Vorlagen werden mit der Jinja-Vorlagensprache erstellt. Wenn Sie mehr über Jinja erfahren möchten, <a class=""strong"" href=""http://jinja.pocoo.org/docs/dev/templates/"">lesen Sie diese Dokumentation.</a></p>",
"<h5 class=""text-muted uppercase"">Or</h5>","<h5 class=""text-muted uppercase"">Oder</h5>",
"<label class=""control-label"" style=""margin-bottom: 0px;"">Account Number Settings</label>","<label class=""control-label"" style=""margin-bottom: 0px;"">Kontonummerneinstellungen</label>",
"<label class=""control-label"" style=""margin-bottom: 0px;"">Amount In Words</label>","<label class=""control-label"" style=""margin-bottom: 0px;"">Betrag in Worten</label>",
"<label class=""control-label"" style=""margin-bottom: 0px;"">Date Settings</label>","<label class=""control-label"" style=""margin-bottom: 0px;"">Datumseinstellungen</label>",
