 Is Child Table,Alt Tablo,
%  Delivered,Teslimat Oranı,
% Amount Billed,Faturalandırma Oranı,
% Billed,% Faturalandı,
% Complete Method,% Tamamlama Yöntemi,
% Completed,% Tamamlandı,
% Installed,% Montajlanan,
% Ordered,% Sipariş verildi,
% Picked,% Hazır,
% Process Loss,% İşletme Zararı,
% Progress,İlerleme % Yüzdesi,
% Received,% Alındı,
% Returned,İade Oranı,
% of materials billed against this Sales Order,% malzemenin faturası bu Satış Emri karşılığında oluşturuldu,
% of materials delivered against this Sales Order,% malzeme bu satış emri karşılığında teslim edildi,
(Hour Rate / 60) * Actual Operation Time,(Saat Hızı / 60) * Gerçek Operasyon Süresi,
(including),(dahildir),
* Will be calculated in the transaction.,* İşlemde hesaplanacaktır.,
1 Loyalty Points = How much base currency?,1 Sadakat Puanı = Ne kadar para birimi?,
1 hr,1 saat,
2 Yearly,2 Yıllık,
3 Yearly,3 Yıllık,
30 mins,30 dakika,
6 hrs,6 saat,
"<br>
<h4>Note</h4>
<ul>
<li>
You can use <a href=""https://jinja.palletsprojects.com/en/2.11.x/"" target=""_blank"">Jinja tags</a> in <b>Subject</b> and <b>Body</b> fields for dynamic values.
</li><li>
    All fields in this doctype are available under the <b>doc</b> object and all fields for the customer to whom the mail will go to is available under the  <b>customer</b> object.
</li></ul>
<h4> Examples</h4>
<!-- {% raw %} -->
<ul>
    <li><b>Subject</b>:<br><br><pre><code>Statement Of Accounts for {{ customer.customer_name }}</code></pre><br></li>
    <li><b>Body</b>: <br><br>
<pre><code>Hello {{ customer.customer_name }},<br>PFA your Statement Of Accounts from {{ doc.from_date }} to {{ doc.to_date }}.</code> </pre></li>
</ul>
<!-- {% endraw %} -->","<br>
<h4>Not</h4>
<ul>
<li>
Dinamik değerler için <b>Konu</b> ve <b>Gövde</b> alanlarında <a href=""https://jinja.palletsprojects.com/en/2.11.x/"" target=""_blank"">Jinja etiketlerini</a> kullanabilirsiniz.
</li><li>
    Bu belge türündeki tüm alanlar <b>belge</b> nesnesi altında ve postanın gideceği müşteriye ait tüm alanlar  <b>müşteri</b> nesnesi altında mevcuttur.
</li></ul>
<h4> Örnekler</h4>
<!-- {% raw %} -->
<ul>
    <li><b>Konu</b>:<br><br><pre><code>Hesap Özeti {{ customer.customer_name }}</code></pre><br></li>
    <li><b>Gövde</b>: <br><br>
<pre><code>Merhaba {{ customer.customer_name }},<br>Hesap Özetinizi {{ doc.from_date }} 'den {{ doc.to_date }}'e kadar PFA yapın.</code> </pre></li>
</ul>
<!-- {% endraw %} -->",
"<div class=""columnHeading"">Other Details</div>","<div class=""columnHeading"">Diğer Detaylar</div>",
"<div class=""text-muted text-center"">No Matching Bank Transactions Found</div>","<div class=""text-muted text-center"">Eşleşen Banka İşlemi Bulunamadı</div>",
"<div>
<h3> All dimensions in centimeter only </h3>
</div>","<div>
<h3> Tüm boyutlar sadece santimetre cinsindendir </h3>
</div>",
