 Is Child Table,جدول فرزند است,
%  Delivered,٪ تحویل شده,
% Amount Billed,٪ مبلغ صورتحساب,
% Billed,٪ صورتحساب شد,
% Complete Method,٪ روش کامل,
% Completed,٪ تکمیل شده,
% Installed,٪ نصب شد,
% Ordered,مرتب٪,
% Picked,% انتخاب شده,
% Process Loss,% از دست دادن فرآیند,
% Progress,٪ پیش رفتن,
% Received,٪ دریافتی,
% Returned,% برگردانده شده,
% of materials billed against this Sales Order,درصد از مواد در برابر این سفارش فروش ثبت شده در صورتحساب,
% of materials delivered against this Sales Order,درصد از مواد در برابر این سفارش فروش تحویل,
(Hour Rate / 60) * Actual Operation Time,(یک ساعت یک نرخ / 60) * * * * واقعی زمان عمل,
(including),(شامل),
* Will be calculated in the transaction.,* * * * آیا می شود در معامله محاسبه می شود.,
1 Loyalty Points = How much base currency?,1 امتیاز وفاداری = چه مقدار ارز پایه؟,
1 hr,1 ساعت,
2 Yearly,2 ساله,
3 Yearly,3 سالانه,
30 mins,30 دقیقه,
6 hrs,6 ساعت,
"<div class=""columnHeading"">Other Details</div>","<div class=""columnHeading"">جزئیات دیگر</div>",
"<div class=""text-muted text-center"">No Matching Bank Transactions Found</div>","<div class=""text-muted text-center"">هیچ تراکنش بانکی منطبقی پیدا نشد</div>",
"<div>
<h3> All dimensions in centimeter only </h3>
</div>","<div>
<h3> همه ابعاد فقط به سانتی‌متر </h3>
</div>",
"<h3>About Product Bundle</h3>

<p>Aggregate group of <b>Items</b> into another <b>Item</b>. This is useful if you are bundling a certain <b>Items</b> into a package and you maintain stock of the packed <b>Items</b> and not the aggregate <b>Item</b>.</p>
<p>The package <b>Item</b> will have <code>Is Stock Item</code> as <b>No</b> and <code>Is Sales Item</code> as <b>Yes</b>.</p>
<h4>Example:</h4>
<p>If you are selling Laptops and Backpacks separately and have a special price if the customer buys both, then the Laptop + Backpack will be a new Product Bundle Item.</p>","<h3>درباره باندل محصول</h3>

<p>گروهی از <b>آیتم‌ها</b> را در <b>آیتم</b> دیگری جمع آوری کنید. اگر <b>آیتم‌های</b> خاصی را در یک باندل قرار دهید و موجودی <b>آیتم‌های</b> بسته بندی شده را حفظ کنید و نه <b>آیتم‌های</b> جمع آوری شده، مفید است.</p>
<p>بسته <b>آیتم</b> دارای <code>آیتم موجودی است</code> به عنوان <b>خیر</b> و <code>آیتم فروش است</code> به عنوان <b>بله خواهد بود. </b>.</p>
<h4>مثال:</h4>
<p>اگر لپ‌تاپ و کوله‌پشتی را جداگانه می‌فروشید و اگر مشتری هر دو را بخرد، قیمت ویژه‌ای دارید، لپ‌تاپ + کوله‌پشتی یک کالای باندل محصول جدید خواهد بود.</p>",
"<h5 class=""text-muted uppercase"">Or</h5>","<h5 class=""text-muted uppercase"">یا</h5>",
"<label class=""control-label"" style=""margin-bottom: 0px;"">Account Number Settings</label>","<label class=""control-label"" style=""margin-bottom: 0px;"">تنظیمات شماره حساب</label>",
"<label class=""control-label"" style=""margin-bottom: 0px;"">Amount In Words</label>","<label class=""control-label"" style=""margin-bottom: 0px;"">مقدار به حروف</label>",
"<label class=""control-label"" style=""margin-bottom: 0px;"">Date Settings</label>","<label class=""control-label"" style=""margin-bottom: 0px;"">تنظیمات تاریخ</label>",
"A Price List is a collection of Item Prices either Selling, Buying, or both",لیست قیمت مجموعه ای از قیمت های آیتم‌های فروش، خرید یا هر دو است,
"A Product or a Service that is bought, sold or kept in stock.",یک محصول یا یک سرویس است که خریداری شده، به فروش می رسد و یا نگه داشته در انبار.,
A condition for a Shipping Rule,یک شرط برای یک قانون ارسال کالا,
A customer must have primary contact email.,مشتری باید ایمیل تماس اصلی داشته باشد.,
A logical Warehouse against which stock entries are made.,انبار منطقی که در برابر نوشته های سهام ساخته شده است.,
A third party distributor / dealer / commission agent / affiliate / reseller who sells the companies products for a commission.,توزیع کننده شخص ثالث / فروشنده / نماینده کمیسیون / وابسته به / نمایندگی فروش که به فروش می رساند محصولات شرکت برای کمیسیون.,
A+,A +,
A-,A-,
A4,A4,
AB+,AB +,
AB-,AB-,
ACC-AML-.YYYY.-,ACC-AML- .YYYY.-,
ACC-ASR-.YYYY.-,ACC-ASR- .YYYY.-,
ACC-ASS-.YYYY.-,ACC-ASS- .YYYY.-,
ACC-BTN-.YYYY.-,ACC-BTN-.YYYY--,
ACC-JV-.YYYY.-,ACC-JV- .YYYY.-,
ACC-PAY-.YYYY.-,ACC-PAY- .YYYY.-,
ACC-PINV-.YYYY.-,ACC-PINV- .YYYY.-,
ACC-PINV-RET-.YYYY.-,ACC-PINV-RET-.YYYY.-,
ACC-PRQ-.YYYY.-,ACC-PRQ- .YYYY.-,
ACC-PSINV-.YYYY.-,ACC-PSINV-.YYYY.-,
ACC-SH-.YYYY.-,ACC-SH- .YYYY.-,
ACC-SINV-.YYYY.-,ACC-SINV- .YYYY.-,
ACC-SINV-RET-.YYYY.-,ACC-SINV-RET-.YYYY.-,
AMC Expiry Date,AMC تاریخ انقضاء,
API,API,
API Details,جزئیات API,
API Endpoint,نقطه پایانی API,
API Key,کلید API,
AWB Number,شماره AWB,
Abbr,مخفف,
Abbreviation,مخفف,
About,درباره,
Academics User,کاربر آکادمیک,
Acceptance Criteria Formula,فرمول معیارهای پذیرش,
Acceptance Criteria Value,مقدار معیارهای پذیرش,
Accepted,پذیرفته,
Accepted Qty,Qty پذیرفته شده است,
Accepted Qty in Stock UOM,تعداد پذیرفته شده در انبار UOM,
Accepted Quantity,تعداد پذیرفته شده,
Accepted Warehouse,انبار پذیرفته شده,
Access Key,کلید دسترسی,
Account,حساب,
Account Balance,موجودی حساب,
Account Balance (From),تراز حساب (از),
Account Balance (To),تراز حساب (به),
Account Closing Balance,تراز اختتامیه حساب,
Account Currency,حساب ارزی,
Account Currency (From),ارز حساب (از),
Account Currency (To),ارز حساب (به),
Account Details,جزئیات حساب,
Account Head,سر حساب,
Account Manager,مدیر حساب,
Account Name,نام حساب,
Account Number,شماره حساب,
Account Opening Balance,تراز افتتاحیه حساب,
Account Paid From,حساب پرداخت از,
Account Paid To,حساب پرداخت به,
Account Subtype,زیرگروه حساب,
Account Type,نوع حساب,
Account for Change Amount,حساب کاربری برای تغییر مقدار,
Accounting,حسابداری,
Accounting Details,جزئیات حسابداری,
Accounting Dimension,بعد حسابداری,
Accounting Dimension Detail,جزئیات بعد حسابداری,
Accounting Dimension Filter,فیلتر ابعاد حسابداری,
Accounting Dimensions,ابعاد حسابداری,
Accounting Dimensions ,ابعاد حسابداری,
Accounting Dimensions Filter,فیلتر ابعاد حسابداری,
Accounting Entries,ثبت های حسابداری,
Accounting Period,دوره حسابرسی,
Accounting entries are frozen up to this date. Nobody can create or modify entries except users with the role specified below,ورودی های حسابداری تا این تاریخ مسدود می شوند. به جز کاربران با نقشی که در زیر مشخص شده است ، هیچ کس نمی تواند ورودی ها را ایجاد یا اصلاح کند,
Accounts,حساب ها,
Accounts Closing,بسته شدن حساب ها,
Accounts Frozen Till Date,حساب ها تا تاریخ منجمد,
Accounts Manager,مدیر حساب ها,
Accounts Payable,حساب های پرداختنی,
Accounts Payable Summary,خلاصه  حسابهای  پرداختنی,
Accounts Receivable,حسابهای دریافتنی,
Accounts Receivable Credit Account,حساب اعتباری قابل دریافت,
Accounts Receivable Discounted Account,حساب با تخفیف قابل دریافت,
Accounts Receivable Summary,خلاصه حسابهای دریافتنی,
Accounts Receivable Unpaid Account,حساب های پرداخت نشده دریافتنی,
Accounts Receivable/Payable,حساب های دریافتنی / پرداختنی,
Accounts Settings,تنظیمات حسابها,
Accounts User,کاربر حسابها,
Accounts to Merge,حساب ها برای ادغام,
Accumulated Depreciation,استهلاک انباشته,
Accumulated Depreciation Account,حساب استهلاک انباشته,
Accumulated Depreciation Amount,انباشته مبلغ استهلاک,
Acquisition Date,تاریخ اکتساب,
Action,اقدام,
Action If Quality Inspection Is Not Submitted,در صورت عدم ارسال بازرسی کیفیت اقدام کنید,
Action If Quality Inspection Is Rejected,اقدام اگر بازرسی کیفیت رد شود,
Action If Same Rate is Not Maintained,اگر همان نرخ حفظ نشود، اقدام کنید,
Action if Accumulated Monthly Budget Exceeded on Actual,اگر عملا بودجه ماهانه جمعآوری شده بیشتر شد، اقدام کنید,
Action if Accumulated Monthly Budget Exceeded on MR,اقدام اگر بودجه ماهانه جمع شده در MR بیشتر باشد,
Action if Accumulated Monthly Budget Exceeded on PO,اقدام اگر بودجه ماهانه جمع شده در PO باشد,
Action if Annual Budget Exceeded on Actual,اقدام اگر بودجه سالانه بیش از واقعی است,
Action if Annual Budget Exceeded on MR,اقدام اگر بودجه سالانه بیش از MR باشد,
Action if Annual Budget Exceeded on PO,اقدام اگر بودجه سالانه بیش از PO باشد,
Action if Same Rate is Not Maintained Throughout Sales Cycle,اگر نرخ یکسانی در طول چرخه فروش حفظ نشود، اقدام کنید,
Actions,عملیات,
Actions performed,اقدامات انجام شده,
Active,فعال,
Active Status,وضعیت فعال,
Activities,فعالیت ها,
Activity,فعالیت,
Activity Cost,هزینه فعالیت,
Activity Type,نوع فعالیت,
Actual,واقعی,
Actual Batch Quantity,مقدار واقعی دسته ای,
Actual Date,تاریخ واقعی,
Actual End Date,تاریخ واقعی پایان,
Actual End Date (via Timesheet),واقعی پایان تاریخ (از طریق زمان ورق),
Actual End Time,پایان زمان واقعی,
Actual Operating Cost,هزینه های عملیاتی واقعی,
Actual Operation Time,عملیات واقعی زمان,
Actual Qty,تعداد واقعی,
Actual Qty (at source/target),تعداد واقعی (در منبع / هدف),
Actual Qty in Warehouse,مقدار واقعی در انبار,
Actual Start Date,واقعی تاریخ شروع,
